,tweet,
0,@TheRealHoarse I’m pretty sure that’s depression/ anxiety comorbidity,2
1,@Kaye66815520 @rickygervais Exactly. I’ve restarted my canceled membership twice just to rewatch it. Just finished rewatching the entire series for the I don’t even know how many times now a couple of days ago. It’s honestly the first show I’ve ever seen that sums up depression perfectly.,0
2,Nah but I actually feel sad wtf nothing is even making me sad like nothing has happened to make me feel sad I’m just sad. This why depression sucks and is not 🌟cute🌟 or “relatable” it’s a real mental illness and can fuck you up without you reading the signs,1
3,"Thinking about migration and documentary forms and reading @ValeriaLuiselli's piece on Dorothea Lange's photos of migrant workers during the Great Depression  (from 11/2020, covering an exhibition I wish I could have visited) (1/2)  https://t.co/nXWTPLxAyt",2
4,I'm still sad but also sleepy so goodnight ig I'm gonna sleep my depression away,1
5,"chronic illness, whether someone is in labor or not, life experience, age, neurology, depression status, blood sugar, temperature, whether they had a good or bad day, socioeconomic status, etc etc etc, have all been found to impact experiences of pain  https://t.co/UG53fHQu7u",2
6,it was the crippling Depression,1
7,"Time to take my daily depression shower 🚿. They always be hitting different, you know?",1
8,"@AriStranzl @hickboy85 @MalcolmNance Harvard, who takes brains of persons with depression (really), might.",2
9,@__moreno_23 anxiety and depression just acting up 🙂,1
10,my anxiety: stop tweeting and deleting people are gonna judge you  my depression: who cares no one sees your tweets anyway   me: i miss the feeling of excitement i’d get when i found a great white in a pack of shark bites fruit snacks,1
11,Visit :  https://t.co/Mpd3Zgr9Bk #health #benefits of #banana : #depression #anxiety #stress #menstrualhealth #periodpain #bloodpressure #hypertension #anemia #tiredness #energy #constipation #digestion #bonehealth #jointpain #ulcer #acidity #PepticUlcer #periodproblems  https://t.co/3TlDo95L6M,2
12,@JoeBiden All of y'all are in for a rude awakening. I wonder how you are going to feel when science tells him to close the whole country down and you have no job at all and no way to take care of your family. The country can keep supporting everyone before we go into a great depression,2
13,"how agony to start 2021 with depression, this odl really take its toll to my mental health, so bad.",1
14,@CEOofWs Sounds good yall r trying to give me depression,2
15,@aftertravy @sirrextro @coffeebeangigi You mean not having depression?,2
16,"This is the end of a life Time to say goodbye This time it's forever Broken mind fuelled by lies Only feeling freedom As the blade cut deep  Suicide shouldn't be the answer. Takes 2 seconds to drop a message to check on a person Text, Talk, Care #mentalhealth #writing #depression",2
17,Get ready ...they (Joe &amp; K ) inherited the worse economy since the depression...we didn’t anticipate how bad it really was...,2
18,@ihr3_ @Depression__D بالعكس مصيبه افضفض بمشاعري كلها 💔,2
19,"Each other from time to time. This is killing me already.  He is the happiness of my days, even when I feel completely shitty.  I hope my depression and anxiety don't get so bad with everything.  He's been unemployed for a year already, and he feels desperate about it.",1
20,"i feel like so many of my mental health issues stem from depression. like self-sabotaging, that shits so annoying",1
21,"People are battling secret demons. Be kind🤗. 71% of people  wearing smile around are going through depression and yes that is the FACT. That sh*t is f*ckin real😔 Philippians 4:6 “Don't worry about anything; instead, pray about everything” ❤️",0
22,anyways!! please watch kaze ga tsuyoku fuiteiru if you're looking for depression,2
23,@1Blue_Night @Depression_A9 🤡🤡🤡🤡  https://t.co/3c5qG6knUM,2
24,once its 75 degrees in new england in next month I will hop out this depression so fast,2
25,"tw // eating disorder, depression, suicide   that fandom been like this since 2018, fck em, they never change. please report all these accounts, get them out of here.",2
26,the 8 week old staffy pup i just met on my walk gave me kisses and cured my depression,1
27,@faeriiflossx @YEE_HAW_BOY managing depression,2
28,"It should never be forgotten, though, that having a gun in the home makes the home inherently less safe to *everybody* in the house, particularly for women and children, and for those of us who struggle with anxiety and depression.",1
29,I got rocket launcher out of depression and into mania. You'll get 2 more selfies before I'm baseline,1
30,@whylamar20 Certain drugs used to treat depression and anxiety also keep men from having orgasms. No orgasm no sperm.,2
31,@PowerReclaim One of my friends posted something on FB and I sent her a DM. She added me to a group and I was completely floored. Went into deep depression. Quit my online presence (I owned a very prosperous online biz). Started researching. Here I am. Completely different person now.,1
32,just bought a 60 dollar marc jacobs tang top.... yet my depression still isn’t cured 🤣🤣🤣🤣,1
33,Some things about some churches that turned me off  - tithes and offerings - too much yelling too early- saying “ you must not love God” for those sitting down - it felt like an attention show after the main point was conveyed- “depression is the devil” and there’s more but eh,1
34,Depression,2
35,Biden is going to do the following   Destroy the economy  Ask CIA for more Mass Shootings Drive Gas prices ridiculously high Put us in a depression  Be perceived as a weak leader  Open borders  Unemployment to all time high  Undue Trump trade deals  Bring back regulations,2
36,I can't stop lying back down in bed. There's literally nothing I want to do. This doesn't even feel like depression; it's more like absolute boredom and lack of interest/motivation. I'm just trying to get ideas. I might need a vacation to spark something in me again. 🥺,1
