,tweet
0,@ThxMandalorian 😁 I'll get a room made up for you! A great day for Cloud City indeed
1,@91VIBEZOFTAE @wallsxlotus great
2,"@kayleighmcenany 400,000 dead on top of the near destruction of this country-you seem confused about the definition of great.  https://t.co/icmRhzs4AA"
3,"@georgendebele22 I must be in the minority then, I think it's a great movie"
4,"@LH_FUT Hey! Surely make a great business logo for you that'll spread your business  as well, DM me asap."
5,"There are some great resources out there. It's just a matter of discovery.  I've always found Flower of Scotland a stirring anthem in itself, but just a bit more powerful in #Gàidhlig!  Just imagine Murrayfield blasting this out at the rugby!  https://t.co/1bppmmakB8"
6,"@suzanneritchie6 I hope they get him back, another great signing for us. Just like Duffy 😁"
7,@SuzanneG1023 Great song
8,@nickmaraldo A coach going 5-7 is very Lions. This is a great hire to continue the tradition of Lions’ football.
9,"‼️DEALS ALL WEEKEND‼️ Come see us at the brewery and get 10% off when you buy a case or 25% Growlers! If you’re staying in, we’re doing FREE LOCAL DELIVERY for orders over $40! Make it a great Saturday with Duckfoot 🍻  https://t.co/nEKqrfKZ3y"
10,@SIBirdClub trying to decide if this gorgeous fellow is a Great or Lesser Spotted Woodpecker. Seen today on our feeding station ❤️ Any thoughts welcome!  https://t.co/1O2EHMNvXW
11,"A great article from @bellacaledonia on how 🏴󠁧󠁢󠁳󠁣󠁴󠁿 can help #Gàidhlig.  As our Welsh patron St David said: ""Gwnewch y pethau bychain."" (Do the little things.)  Replace ""Hello"" &amp; ""thank you"" w/ ""Madainn mhath"" &amp; ""Tapadh leat"". Sing FoS in 🏴󠁧󠁢󠁳󠁣󠁴󠁿instead of🏴󠁧󠁢󠁥󠁮󠁧󠁿, etc.  https://t.co/eVns6tUDW1"
12,Enterprise tech investment is booming  What we're seeing:  * More technology decisions being made outside IT * Vertical SaaS continuing its climb * No code continues to gain steam  Great article in @WSJ by @SCastellWSJ w/ some @CBinsights data goodness   https://t.co/ZbBKFHFjQu  https://t.co/vkgnB4RJ0R
13,@Nash076 The cast is good in 2020 but i feel so disconnected. Mother Abagail was SO good in 94 and here..i dont know it feels wasted and hollow.  Both versions of Tom Cullen are great though
14,@_OmarKhalifa I see what was the issue with the Nova 3i I mean Huawei phones have been great for me I know someone with a P Smart it's a great device
15,@Emmadoxie Awe that’s great
16,#liamappreciationday LIAM YOURE SO POG AND NICE AND fUNNY YOURE A GREAT FRIEND IM REALLY GALD I MET YOU ENJOY YOUR DAY BASSMASTER 5000 ILY /P
17,Gallatin Wrestling is taking on Great Falls today #gallatinraptors #riseoftheraptors  https://t.co/1x0HdkBIe0
18,@MarioBooneTV @abbydphillip Abby is such a great voice on CNN. When she speaks I listen.
19,"If you want to listen to some quality music then look no further, I genuinely listened to all these songs playing live and every artist is spectacular  https://t.co/4Xj3zg00d9 ,, upbeat, moving, great production @lizzie_romain is a wonderful presenter too!"
20,@H_is_smashing That's great 😍 I will dm you
21,The Wheel on bbc is actually great and really making me chuckle
22,@AlwaysSmiiile Mais on va pas jouer contre la France ?
23,"NF season starts great with #eurovision twitter going frantic for an unknown ICONIC duo from Lithuania singing like Donald Duck doing electro and hypnotizing dancing during interval, I mean 2021 is already bringing the goods #PabandomIšNaujo"
24,@brjrklhr @glenfarclas @thatsdramgood @whiskeytalk2U @DavidMarra @daveswhiskey @MaddenWhiskey @aidanmc_g @StillTripleDist @dramofthemonth @whiskey_paddy @LoudonAlex Great way to start your #saturdaynightsip I’m starting in Scotland with this Aberlour... #casgannamh  https://t.co/XkuLFaMTH6
25,"@BrianLivesInOH @tableauing @tableau Wow that’s great news, Brian!  I’m happy for ya!"
26,@brent858 @DRByrd3 @BNightengale Yeah they are great for girls Fastpitch softball tournaments that have time constraints to finish games in 1:15 minutes!  C’mon these guys are making Millions...get out there and play
27,@Scott_M_Gaming No probs mate! Here's to great 2021 as well!  https://t.co/tqvTUYuwwP
28,"This job might be a great fit for you: Rx Delivery Driver -  https://t.co/UtJS3FSci8 #Transportation #ElCajon, CA"
29,"@alexandria__98 @andy_muan And have a lot less debt.  I love being in medicine but it’s not for everyone.  Plumber, electricians and carpenters can have a great career."
30,Well I thought that @pixaronward was bloody beautiful! Great movie!  https://t.co/UFMdF3gktf
31,"@MadhaviBhuta @mihirbhuta64 Wow, great 👏"
32,@jellybob_69 @Your3rdLife @pansycacke07 @ShittyHaloTakes The previous games where it was a br sweat pool The clamver mechanic with the dash ability and stabilizers allowed for a great ways of moving around the map never seen before Halo 5's basically shits all over any other halo with ceazy custom games never thought I'd play
33,I’ve updated my #StarWarsTheHighRepublic chronological reading order after receiving @cavanscott’s The Great Jedi Rescue this morning. Just need A Test of Courage to arrive in order to get it up to date! I’m really enjoying this new era of Star Wars! Well done to all involved! 😁  https://t.co/AfapSB0QT6
34,@NeilMaha @gregbradyTO @am640 @GlennBragonier That would be great!
35,"@JimInhofe “We love each other.” -@realDonaldTrump on Xi Jinping  “He’s now president for life. President for life. And he’s great.” -@realDonaldTrump on Xi Jinping  “On behalf of the American people, I want to thank President Xi!” -@realDonaldTrump  https://t.co/Ndwbs4JXx3"
36,Great illustration 👌
37,"@KySportsRadio Remind me again why we recruited Boston? Passing? Dribbling? Execution? Leadership? Oh yeah, it was because he had that great dribble-drive underhand layup."
38,"Allied Universal is looking for teammates like you. See our latest Security Officer job openings, including ""Security Officer Great for Veterans"", via the link in our bio. #SecurityOfficer #SecurityGuard"
39,@jonkarl @weijia Weijia is great!
40,@TheRealHoarse I do! I do! Great idea!
41,Idk bout anyone else but 2021 doesn’t seem to be off to a great start either
