,tweet,
0,@PhotosHistos French artistic photo school of 1979-1999  https://t.co/eWSrQEfByu,2
1,"@TheComingStorm_ ""There was this girl who held me hostage in some school with no power.""  ""So I had to tinker with about five generators,  Find keys to locked doors,  Solve a four digit code to get the master key,  And get the hell out of there while being chased by some crazy girl.""",2
2,[定期]ef a tale of memories/ef a tale of melodies/CLANNAD/とらドラ/みなみけ/生徒会役員共/生徒会の一存/school days/お兄ちゃんだけど愛さえあれば関係ないよねっ/これはゾンビですか？/這いよれ！ニャル子さん/緋弾のアリア,2
3,"@karenebayne I picked up a textbook on Friday. Hoping the reference will help. He doesn't like flipping screens for info. His tutor reached out on Thursday, perfect timing. She hasn't seen him in well over a month. She helped after school and did a mini session with him today.",0
4,@chrryhslot mh,2
5,@lightskintowel Uhhh me and the boys bullied a racist sex offender into switching schools if that counts,2
6,"@BootstrapCook I got an email from our school saying our edenred vouchers would be coming back next week,  but there will be a survey asking parents if they would rather have those or the food parcels!",0
7,Between testosterone and constantly squatting (to avoid bending over &amp; puking) my ass has literally NEVER looked better,0
8,"School is probably the most consistent reason of my bad vibes (the most but not the only one, there are a lot of others, but it's the worst)",1
9,"LIVE  West Salem vs Prairie du Chien | Wisconsin High School Basketball | Live Stream  Jan 16, 2021  06:00 PM  Watch Live Here :    https://t.co/uiVi9cznV3  #highschoolBASKETBALL, #texashighschoolBASKETBALL, #varsitygirlsBASKETBALL,   #ncaaBASKETBALL, #highschoolsports",2
10,The 'Kardashian' academics on social media who are influencing school policy   https://t.co/CCj9ZqfffH,2
11,[SHARING] Back To School Kit WayV Ver   Mini Note : 60k set  100 day challenge : 35k  Mini brochure : 40k  Member Clear Bookmark 35k pair Ten-YangYang Lucas -Hendery Winwin-Xiaojun  Payment Via Shopeepay/BCA Grup Sharing ✅ Pelunasan Shopee Jateng,2
12,@hiromu_edit ひろむたん！おはおは〜🌸 今日も行ってらっしゃい🔥🔥🔥,2
13,"First Student Canada-Transco is hiring in #Mascouche, QC! Click the link in our bio to apply: School Bus Driver/ Chauffeur d'autobus scolaire #Transportation",0
14,"@MeredithGreyDC I wanted to go to trade school but it was frowned upon. Now they're like ""If you are in the trades you can make A LOT of money."" No shit because y'all forced a shortage of supply.",2
15,"Haven’t had time lately other than editing one I’ve been working on, but all this FanFic talk reminds me of this one Harry Potter fic I read in high school. It left such an impact on me I still think about it like fifteen years later.",0
16,"All of una don buy all the latest Lexus finish,some na 12pro max dem dey use,e wan lo npe si school reunion. I swear I no come.🤧",2
